Population,Sample_ID_old,Sample_ID,Pop_Plant,Flower_ID,Type,Date,M.Corolla_D1,M.Corolla_D2,M.Tube_Flare,M.Stamen_Length,M.Style_Length,M.Hypanthium_Length,M.Pedicel_Length,M.Leaf_Number,M.Leaf_Length,M.Nectar_Column,M.Percent_Sugar,Fresh_Mass,Dry_Mass
Arizona,rm2-5,Samp.rm2-5-A,rm2-5,1,Yes,16-Jun-09,76.24,78.81,8.34,31.68,36.04,120.05,4.64,17,291.00,117,20.0,1.98,0.16
Arizona,rm2-5,Samp.rm2-5-B,rm2-5,2,No,25-Jun-09,75.16,71.13,7.95,32.53,28.29,136.43,4.95,,,140,20.0,2.13,0.16
Arizona,rm2-6,Samp.rm2-6-A,rm2-6,1,Yes,25-Jun-09,70.60,70.60,7.86,27.84,32.92,147.85,12.19,,,29,27.0,1.63,0.14
Arizona,rm2-7,Samp.rm2-7-A,rm2-7,1,Yes,15-Jun-09,74.77,74.16,8.77,24.39,24.78,114.95,7.03,11,302.00,66,22.5,2.21,0.17
Arizona,rm2-8,Samp.rm2-8-A,rm2-8,1,Yes,25-Jun-09,81.74,80.64,8.40,26.71,31.12,123.70,18.00,,,212,26.0,2.72,0.24
Arizona,rm2-9,Samp.rm2-9-A,rm2-9,1,Yes,1-Jun-09,90.04,94.68,10.01,23.37,36.86,149.44,0.10,18,205.00,54.68,,3.30,0.37
Arizona,rm2-9,Samp.rm2-9-B,rm2-9,2,No,8-Jun-09,88.86,90.26,8.25,22.42,26.70,135.85,0.00,29,244.14,65,25.0,2.81,0.33
Arizona,rm2-9,Samp.rm2-9-C,rm2-9,3,No,24-Jun-09,89.28,84.90,8.20,24.87,27.30,168.50,14.64,,,100,23.0,2.87,0.25
Arizona,rm2-9,Samp.rm2-9-D,rm2-9,4,No,25-Jun-09,94.98,94.20,8.30,24.93,25.30,157.00,19.13,,,39,23.0,2.91,0.21
Arizona,rm2-11,Samp.rm2-11-A,rm2-11,1,Yes,8-Jun-09,78.47,81.79,7.08,24.40,24.67,119.73,19.81,35,268.81,,,2.28,0.22
Arizona,rm2-11,Samp.rm2-11-B,rm2-11,2,No,16-Jun-09,87.91,86.36,8.05,25.42,26.69,119.12,10.51,41,244.00,119,27.5,2.64,0.26
Arizona,rm2-11a,Samp.rm2-11-C,rm2-11,3,No,17-Jun-09,91.96,92.29,8.96,26.55,27.73,132.84,17.11,42,280.00,169,31.0,2.91,0.30
Arizona,rm2-11b,Samp.rm2-11-D,rm2-11,4,No,17-Jun-09,91.03,90.91,9.78,25.89,28.74,127.07,16.29,41,273.00,174,31.0,2.97,0.28
